*Action(SiteID=Italy|Country=IT|Currency=EUR|Version=745|CC=UTF-8);ItemID;*Quantity
Revise;161039096841;348
Revise;161640960592;21
Revise;111073073008;2
Revise;111366253100;4
Revise;111247667010;3
Revise;111247666521;12
Revise;111100043146;4
Revise;111073071712;31
Revise;111073072643;0
Revise;161640960545;9
Revise;111079206618;7
Revise;161026520560;18
Revise;111116481283;1
Revise;111623858991;41
Revise;161027023599;2
Revise;161186511042;1
Revise;111287721011;4
Revise;161640960782;365
Revise;161319761272;9
Revise;111078468090;1
Revise;161319761210;2
Revise;161026518835;5
Revise;161026519014;5
Revise;161026519884;30
Revise;161026521369;6
Revise;161026519639;1
Revise;161640960623;86
Revise;111623858937;52
Revise;161026519595;7
Revise;111247666679;0
Revise;161026520059;0
Revise;161199398486;27
Revise;111623858890;157
Revise;111073070998;18
Revise;161026520258;4
Revise;161288721190;28
Revise;161026518535;0
Revise;161090599954;0
Revise;161027258700;2
Revise;111623858819;17
Revise;161033025303;59
